time net_usedMbps avg_cpu dram_usedGB net_allocMbps dram_allocGB
1525214883.566166 0.0 0.25 0.0 32000 161.0612736
1525214884.5726523 0.0 0.5 0.0 32000 161.0612736
1525214885.5801263 0.0 0.5 0.0 32000 161.0612736
1525214886.5861552 0.0 0.25 0.0 32000 161.0612736
1525214887.5924623 0.0 0.25 0.0 32000 161.0612736
1525214888.599648 0.0 0.25 0.0 32000 161.0612736
1525214889.606006 0.0 0.25 0.0 32000 161.0612736
1525214890.6122131 0.0 0.25 0.0 32000 161.0612736
1525214891.618346 0.0 0.25 0.0 32000 161.0612736
1525214892.6244252 0.0 0.0 0.000131072 32000 161.0612736
1525214893.6307154 0.0 0.0 0.000131072 32000 161.0612736
1525214894.6375246 0.0 0.5 0.000131072 32000 161.0612736
1525214895.643933 0.0 0.5 0.000131072 32000 161.0612736
1525214896.6501255 0.0 0.25 0.000131072 32000 161.0612736
1525214897.6564703 0.0 0.25 0.000131072 32000 161.0612736
1525214898.6624534 0.0 0.25 0.000131072 32000 161.0612736
1525214899.6688066 0.0 0.25 0.000131072 32000 161.0612736
1525214900.6747332 0.0 0.0 0.000131072 32000 161.0612736
1525214901.6820607 0.0 0.0 0.029032448 32000 161.0612736
1525214902.6880903 640.0 15.0 0.121110528 32000 161.0612736
1525214903.695398 640.0 15.0 0.214761472 32000 161.0612736
1525214904.7012255 1120.0 8.5 0.262930432 32000 161.0612736
1525214905.7084587 1120.0 8.5 0.262930432 32000 161.0612736
1525214906.7142587 0.0 0.25 0.262930432 32000 161.0612736
1525214907.7202256 0.0 0.25 0.262930432 32000 161.0612736
1525214908.7263808 0.0 0.0 0.262930432 32000 161.0612736
1525214909.7346501 0.0 0.0 0.262930432 32000 161.0612736
1525214910.7404315 0.0 0.25 0.262930432 32000 161.0612736
1525214911.7486963 0.0 0.25 0.262930432 32000 161.0612736
1525214912.7547657 0.0 0.0 0.262930432 32000 161.0612736
1525214913.76205 0.0 0.0 0.262930432 32000 161.0612736
1525214914.767618 0.0 1.0 0.26312704 32000 161.0612736
1525214915.7747161 0.0 1.0 0.26312704 32000 161.0612736
1525214916.7809153 0.0 0.25 0.26312704 32000 161.0612736
1525214917.7880142 0.0 0.25 0.26312704 32000 161.0612736
1525214918.7952943 320.0 1.5 0.26312704 32000 161.0612736
1525214919.8023367 320.0 1.5 0.26312704 32000 161.0612736
1525214920.808329 1280.0 0.5 0.26312704 32000 161.0612736
1525214921.8152564 1280.0 0.5 0.280035328 32000 161.0612736
1525214922.8216138 0.0 1.0 0.281018368 32000 161.0612736
1525214923.8287523 0.0 1.0 0.282656768 32000 161.0612736
1525214924.835718 560.0 13.25 0.361365504 32000 161.0612736
1525214925.8426313 560.0 13.25 0.674234368 32000 161.0612736
1525214926.8486934 5840.0 52.0 1.096548352 32000 161.0612736
1525214927.8556023 5840.0 52.0 1.683750912 32000 161.0612736
1525214928.8608787 12640.0 67.5 2.649489408 32000 161.0612736
1525214929.867838 12640.0 67.5 3.688824832 32000 161.0612736
1525214930.873995 14880.0 69.5 4.680450048 32000 161.0612736
1525214931.880866 16960.0 72.25 5.644681216 32000 161.0612736
1525214932.8863075 16320.0 72.5 6.538657792 32000 161.0612736
1525214933.892968 15680.0 71.75 7.261257728 32000 161.0612736
1525214934.8992372 14240.0 69.25 8.088518656 32000 161.0612736
1525214935.9058592 12960.0 67.75 8.95844352 32000 161.0612736
1525214936.9120524 13920.0 70.5 9.85628672 32000 161.0612736
1525214937.9185283 14880.0 72.25 10.601627648 32000 161.0612736
1525214938.9244397 14400.0 72.0 11.523719168 32000 161.0612736
1525214939.9307325 13840.0 72.0 12.387090432 32000 161.0612736
1525214940.9367533 14000.0 72.5 13.227327488 32000 161.0612736
1525214941.9430845 14320.0 72.0 14.072938496 32000 161.0612736
1525214942.9489434 14480.0 68.25 15.003615232 32000 161.0612736
1525214943.9556606 14960.0 67.5 16.209477632 32000 161.0612736
1525214944.9612932 15680.0 67.75 16.805462016 32000 161.0612736
1525214945.9918253 16160.0 68.75 17.001283584 32000 161.0612736
1525214946.9973674 13200.0 35.5 16.937320448 32000 161.0612736
1525214948.0053618 10480.0 26.25 16.947806208 32000 161.0612736
1525214949.0104706 16640.0 23.75 17.02330368 32000 161.0612736
1525214950.016715 21440.0 21.0 17.085759488 32000 161.0612736
