time net_usedMbps avg_cpu dram_usedGB net_allocMbps dram_allocGB
1525217355.271211 0.0 0.25 18.16395776 32000 123.48030976
1525217356.277417 0.0 0.25 18.167103488 32000 123.48030976
1525217357.2838845 0.0 0.75 18.170445824 32000 123.48030976
1525217358.2911305 0.0 0.75 18.174574592 32000 123.48030976
1525217359.2974472 0.0 0.5 18.176540672 32000 123.48030976
1525217360.303979 0.0 0.5 18.17772032 32000 123.48030976
1525217361.3106802 0.0 0.75 18.17935872 32000 123.48030976
1525217362.3170722 0.0 0.75 18.1796864 32000 123.48030976
1525217363.3233485 0.0 0.75 18.179817472 32000 123.48030976
1525217364.3296802 0.0 0.75 18.180276224 32000 123.48030976
1525217365.3356388 0.0 0.25 18.180276224 32000 123.48030976
1525217366.342149 0.0 0.25 18.180276224 32000 123.48030976
1525217367.34813 0.0 0.0 18.18066944 32000 123.48030976
1525217368.3543603 0.0 0.0 18.18165248 32000 123.48030976
1525217369.361265 0.0 0.25 18.182242304 32000 123.48030976
1525217370.367481 0.0 0.25 18.184208384 32000 123.48030976
1525217371.3749123 0.0 0.5 18.184470528 32000 123.48030976
1525217372.381121 0.0 0.5 18.185191424 32000 123.48030976
1525217373.3880422 0.0 0.0 18.185388032 32000 123.48030976
1525217374.3942885 0.0 0.0 18.18591232 32000 123.48030976
1525217375.4013886 0.0 0.25 18.186174464 32000 123.48030976
1525217376.4076211 0.0 0.25 18.186371072 32000 123.48030976
1525217377.4138172 0.0 0.5 18.18656768 32000 123.48030976
1525217378.4200664 0.0 0.5 18.18656768 32000 123.48030976
1525217379.4261708 0.0 0.75 18.186764288 32000 123.48030976
1525217380.4324384 0.0 0.75 18.186960896 32000 123.48030976
1525217381.438647 0.0 0.25 18.186960896 32000 123.48030976
1525217382.4451194 0.0 0.25 18.186960896 32000 123.48030976
1525217383.4510038 0.0 0.0 18.186960896 32000 123.48030976
1525217384.458502 0.0 0.0 18.186960896 32000 123.48030976
1525217385.4643388 0.0 0.0 18.186960896 32000 123.48030976
1525217386.4705598 0.0 0.0 18.186960896 32000 123.48030976
1525217387.4764934 0.0 0.25 18.186960896 32000 123.48030976
1525217388.4826884 0.0 0.25 18.186960896 32000 123.48030976
1525217389.4885767 0.0 0.25 18.186960896 32000 123.48030976
1525217390.494876 0.0 0.25 18.186960896 32000 123.48030976
1525217391.5009117 0.0 0.0 18.186960896 32000 123.48030976
1525217392.5071006 0.0 0.0 18.186960896 32000 123.48030976
1525217393.513485 0.0 0.5 18.186960896 32000 123.48030976
1525217394.519707 0.0 0.5 18.186960896 32000 123.48030976
1525217395.5258336 0.0 0.0 18.186960896 32000 123.48030976
1525217396.5320737 0.0 0.0 18.186960896 32000 123.48030976
1525217397.5380282 0.0 0.5 18.186960896 32000 123.48030976
1525217398.544268 0.0 0.5 18.186960896 32000 123.48030976
1525217399.5501704 0.0 0.75 18.186960896 32000 123.48030976
1525217400.556438 0.0 0.75 18.186960896 32000 123.48030976
1525217401.5629373 0.0 0.5 18.186960896 32000 123.48030976
1525217402.5692008 0.0 0.5 18.186960896 32000 123.48030976
1525217403.575352 0.0 0.0 18.186960896 32000 123.48030976
1525217404.5818286 0.0 0.0 18.186960896 32000 123.48030976
1525217405.5876687 0.0 0.5 18.186960896 32000 123.48030976
1525217406.593955 0.0 0.5 18.186960896 32000 123.48030976
1525217407.600233 0.0 0.0 18.186960896 32000 123.48030976
1525217408.6064157 0.0 0.0 18.186960896 32000 123.48030976
1525217409.6127424 0.0 0.0 18.186960896 32000 123.48030976
1525217410.6190317 0.0 0.0 18.186960896 32000 123.48030976
1525217411.625118 0.0 0.25 18.186960896 32000 123.48030976
1525217412.6324496 0.0 0.25 18.186960896 32000 123.48030976
1525217413.6384523 0.0 0.25 18.186960896 32000 123.48030976
1525217414.644703 0.0 0.25 18.186960896 32000 123.48030976
1525217415.6521697 0.0 0.25 18.186960896 32000 123.48030976
1525217416.6584349 0.0 0.25 18.186960896 32000 123.48030976
1525217417.6658983 0.0 0.0 18.186960896 32000 123.48030976
1525217418.6730886 0.0 0.0 18.186960896 32000 123.48030976
1525217419.6801074 0.0 0.25 18.186960896 32000 123.48030976
1525217420.687306 0.0 0.25 18.186960896 32000 123.48030976
1525217421.6943119 0.0 0.5 18.186960896 32000 123.48030976
1525217422.7005806 0.0 0.5 18.186960896 32000 123.48030976
1525217423.707599 0.0 0.0 18.186960896 32000 123.48030976
1525217424.7139308 0.0 0.0 18.186960896 32000 123.48030976
1525217425.7209773 0.0 0.5 18.186960896 32000 123.48030976
1525217426.7282443 0.0 0.5 18.186960896 32000 123.48030976
1525217427.7341578 0.0 0.25 18.186960896 32000 123.48030976
1525217428.7414727 0.0 0.25 18.186960896 32000 123.48030976
1525217429.747307 0.0 3.0 18.186960896 32000 123.48030976
1525217430.7545266 0.0 3.0 18.186960896 32000 123.48030976
1525217431.760621 0.0 0.25 18.186960896 32000 123.48030976
1525217432.7681909 0.0 0.25 18.186960896 32000 123.48030976
1525217433.7749202 0.0 0.0 18.186960896 32000 123.48030976
1525217434.7831764 0.0 0.0 18.186960896 32000 123.48030976
1525217435.7892861 0.0 0.25 18.186960896 32000 123.48030976
1525217436.7976599 0.0 0.25 18.186960896 32000 123.48030976
1525217437.8038182 0.0 0.25 18.186960896 32000 123.48030976
1525217438.8111856 0.0 0.25 18.186960896 32000 123.48030976
1525217439.8179274 0.0 0.5 18.186960896 32000 123.48030976
1525217440.825137 0.0 0.5 18.186960896 32000 123.48030976
1525217441.8312194 0.0 0.0 18.186960896 32000 123.48030976
1525217442.8367267 0.0 0.0 18.186960896 32000 123.48030976
1525217443.842723 0.0 0.5 18.186960896 32000 123.48030976
1525217444.8498924 0.0 0.5 18.186960896 32000 123.48030976
1525217445.8560245 0.0 0.75 18.186960896 32000 123.48030976
1525217446.8629663 0.0 0.75 18.186960896 32000 123.48030976
1525217447.8698294 0.0 0.25 18.186960896 32000 123.48030976
1525217448.8767803 0.0 0.25 18.186960896 32000 123.48030976
1525217449.8826394 0.0 0.0 18.186960896 32000 123.48030976
1525217450.8895543 0.0 0.0 18.186960896 32000 123.48030976
1525217451.8960135 0.0 0.25 18.186960896 32000 123.48030976
1525217452.9029367 0.0 0.25 18.186960896 32000 123.48030976
1525217453.9093187 0.0 0.75 0.000131072 32000 123.48030976
1525217454.9162743 0.0 0.75 0.000131072 32000 123.48030976
1525217455.9227712 0.0 0.25 0.000131072 32000 123.48030976
1525217456.9297237 0.0 0.25 0.000131072 32000 123.48030976
1525217457.9360318 0.0 0.0 0.000131072 32000 123.48030976
1525217458.942943 0.0 0.0 0.000131072 32000 123.48030976
1525217459.9494483 0.0 0.25 0.000131072 32000 123.48030976
1525217460.9567974 0.0 0.25 0.000131072 32000 123.48030976
1525217461.9628623 0.0 0.5 0.000131072 32000 123.48030976
1525217462.9697542 0.0 0.5 0.000131072 32000 123.48030976
