time net_usedMbps avg_cpu dram_usedGB net_allocMbps dram_allocGB
1525221491.1136358 0.0 1.0 0.0 8000 49.392123904
1525221512.1959946 0.0 1.75 0.0 32000 197.568495616
1525221513.2025228 0.0 1.5 0.0 32000 197.568495616
1525221514.2088335 0.0 0.0 0.0 32000 197.568495616
1525221515.2151804 0.0 0.25 0.0 32000 197.568495616
1525221516.221333 0.0 0.75 0.0 32000 197.568495616
1525221517.2277274 0.0 0.5 0.0 32000 197.568495616
1525221518.2338355 0.0 0.25 0.0 32000 197.568495616
1525221519.2404182 0.0 0.25 0.0 32000 197.568495616
1525221520.2460847 0.0 0.0 0.0 32000 197.568495616
1525221521.2530868 0.0 0.0 0.0 32000 197.568495616
1525221522.2589066 0.0 0.0 0.0 32000 197.568495616
1525221523.2656405 0.0 0.25 0.0 32000 197.568495616
1525221524.2714329 0.0 0.5 0.0 32000 197.568495616
1525221525.2782724 0.0 0.5 0.0 32000 197.568495616
1525221526.2844603 0.0 0.25 0.0 32000 197.568495616
1525221527.2919886 0.0 0.0 0.0 32000 197.568495616
1525221528.2983165 0.0 0.25 0.0 32000 197.568495616
1525221529.3055682 0.0 0.5 0.000131072 32000 197.568495616
1525221530.311262 0.0 0.25 0.000131072 32000 197.568495616
1525221531.3191202 0.0 0.25 0.000131072 32000 197.568495616
1525221532.324953 0.0 0.25 0.000131072 32000 197.568495616
1525221533.3328059 0.0 0.25 0.000131072 32000 197.568495616
1525221534.3388042 0.0 0.5 0.000131072 32000 197.568495616
1525221535.3452866 0.0 0.5 0.000131072 32000 197.568495616
1525221536.3512247 0.0 0.75 0.000131072 32000 197.568495616
1525221537.3579888 0.0 0.5 0.000131072 32000 197.568495616
1525221538.364293 0.0 1.25 0.062455808 32000 197.568495616
1525221539.3705792 240.0 7.25 0.154796032 32000 197.568495616
1525221540.3770444 720.0 11.75 0.248250368 32000 197.568495616
1525221541.3831856 1280.0 14.0 0.262930432 32000 197.568495616
1525221542.3890033 960.0 8.75 0.262930432 32000 197.568495616
1525221543.395171 160.0 0.5 0.262930432 32000 197.568495616
1525221544.401149 0.0 0.75 0.262930432 32000 197.568495616
1525221545.4077156 0.0 0.75 0.262930432 32000 197.568495616
1525221546.4137244 0.0 0.0 0.262930432 32000 197.568495616
1525221547.420468 0.0 0.25 0.262930432 32000 197.568495616
1525221548.4277587 0.0 0.5 0.262930432 32000 197.568495616
1525221549.4346836 0.0 0.5 0.262930432 32000 197.568495616
1525221550.4406753 0.0 0.25 0.262930432 32000 197.568495616
1525221551.4472733 0.0 0.0 0.262930432 32000 197.568495616
1525221552.4538617 0.0 0.5 0.262930432 32000 197.568495616
1525221553.459989 0.0 0.5 0.262930432 32000 197.568495616
1525221554.4654958 0.0 0.0 0.262930432 32000 197.568495616
1525221555.4720805 0.0 0.0 0.262930432 32000 197.568495616
1525221556.4780512 0.0 0.0 0.262930432 32000 197.568495616
1525221557.4851227 0.0 0.25 0.262930432 32000 197.568495616
1525221558.49187 0.0 0.25 0.26312704 32000 197.568495616
1525221559.4997087 0.0 0.75 0.26312704 32000 197.568495616
1525221560.505305 0.0 1.25 0.26312704 32000 197.568495616
1525221561.5114412 0.0 0.5 0.26312704 32000 197.568495616
1525221562.5174932 0.0 0.25 0.26312704 32000 197.568495616
1525221563.5241518 0.0 0.75 0.26312704 32000 197.568495616
1525221564.5298166 0.0 1.25 0.26312704 32000 197.568495616
1525221565.5362492 240.0 2.25 0.26312704 32000 197.568495616
1525221566.542495 800.0 2.25 0.26312704 32000 197.568495616
1525221567.5487118 1200.0 0.75 0.281018368 32000 197.568495616
1525221568.554811 720.0 0.0 0.31326208 32000 197.568495616
1525221569.587923 320.0 4.25 0.439615488 32000 197.568495616
1525221570.594165 1520.0 11.25 0.733741056 32000 197.568495616
1525221571.6005604 3040.0 16.5 0.981794816 32000 197.568495616
1525221572.606136 4720.0 34.75 1.776156672 32000 197.568495616
1525221573.612219 7840.0 60.25 2.600337408 32000 197.568495616
1525221574.6178305 13920.0 82.25 4.198629376 32000 197.568495616
1525221575.624895 19760.0 92.75 5.190385664 32000 197.568495616
1525221576.6307557 20880.0 84.25 6.190596096 32000 197.568495616
1525221577.6377163 18880.0 81.0 7.353729024 32000 197.568495616
1525221578.644155 18240.0 81.0 8.558870528 32000 197.568495616
1525221579.6507094 20320.0 82.5 10.02012672 32000 197.568495616
1525221580.6570075 22960.0 89.5 11.485970432 32000 197.568495616
1525221581.663631 24400.0 93.5 12.759334912 32000 197.568495616
1525221582.6699884 22960.0 86.75 13.951369216 32000 197.568495616
1525221583.6767561 20880.0 84.25 15.289155584 32000 197.568495616
1525221584.6839192 20880.0 91.5 16.52948992 32000 197.568495616
1525221585.6908839 21360.0 94.25 17.729847296 32000 197.568495616
1525221586.696758 18080.0 72.25 17.865048064 32000 197.568495616
1525221587.7037292 11360.0 29.5 17.865048064 32000 197.568495616
1525221588.7093046 6240.0 7.25 17.865048064 32000 197.568495616
1525221589.7155154 3840.0 2.75 17.862885376 32000 197.568495616
1525221590.7215257 1680.0 0.75 17.862885376 32000 197.568495616
1525221591.7279751 160.0 0.0 17.862885376 32000 197.568495616
1525221592.7336135 0.0 0.25 17.862885376 32000 197.568495616
1525221593.739592 0.0 0.25 17.862885376 32000 197.568495616
1525221594.7454057 80.0 0.75 17.862885376 32000 197.568495616
1525221595.752167 240.0 1.0 17.862885376 32000 197.568495616
1525221596.7578886 1600.0 4.0 17.862885376 32000 197.568495616
1525221597.7645414 3760.0 5.5 17.862885376 32000 197.568495616
